Terms,TOP,BOT
kinfolk,1,0
king,7,8
kingdom,4,2
kings,1,1
kinkos,0,2
kinky,1,0
kinsey,6,0
kipling,1,0
kirk,1,0
kirkeby,0,1
kiss,1,2
kisses,2,1
kisseslaughterbut,1,0
kissing,1,1
kissmy,0,1
kit,0,3
kitand,1,0
kitchen,2,3
kitchens,0,1
kitchenwhere,0,1
kitkat,1,0
kitkatlaughterbecause,1,0
kits,0,2
kitten,3,0
kiva,0,2
klein,1,0
kluge,0,1
knee,1,1
kneeit,0,1
kneel,0,1
knees,4,3
knells,1,0
knew,35,12
knewkb,1,0
knife,1,1
knivesgrown,0,1
knob,0,2
knock,3,0
knocked,1,0
knockout,0,1
knockoutlet,1,0
knoll,0,1
know,388,334
knowab,1,0
knowand,1,2
knowhe,1,0
knowing,9,5
knowlaughterand,1,0
knowlaughterapplauseright,1,0
knowlaughtercuttlefish,1,0
knowlaughteri,1,0
knowlaughterit,1,0
knowlaughterwhat,1,0
knowledge,13,8
knowledgeable,1,0
knowledgeand,0,1
knowledgeenabled,0,2
known,17,8
knownever,0,1
knownso,0,1
knows,31,21
knowshow,0,1
knowso,0,1
knowthe,1,2
knucklehead,1,0
koko,5,0
korea,20,2
korean,14,0
koreans,12,0
koreaone,1,0
korsakoffs,1,0
kosovo,0,3
kosovos,0,1
kosteletzkya,0,1
krakow,0,1
kraus,1,0
kremer,0,1
kroc,2,0
kundera,1,0
kunm,0,1
kurosaki,0,1
kurt,0,2
kyi,0,1
kyrgyz,0,1
kyrgyzstan,0,1
lab,15,17
label,6,2
labeled,1,1
labels,0,1
labelwhat,0,1
labor,1,8
laboratories,0,2
laboratoriesso,0,1
laboratory,4,1
laborer,0,1
labph,0,2
labs,1,2
labslaughternow,1,0
labyrinth,0,4
lack,5,3
lacking,1,1
ladder,1,0
laden,0,2
ladies,9,9
ladiesi,0,1
lady,4,12
ladys,0,1
lafrance,1,0
laggards,1,0
lagging,0,1
lagoon,0,2
lagos,5,6
laid,3,1
lakes,1,0
lalaughterwe,1,0
lama,0,3
lamelaughterand,1,0
lamenting,0,1
laminate,0,4
lamp,0,2
lamppost,0,1
lamps,0,1
lance,2,0
lancelot,0,1
land,4,29
landed,5,0
landers,0,1
landfills,0,1
landing,2,1
landings,0,1
landlines,0,1
landmines,0,1
lands,5,1
landscape,4,2
landscapes,1,1
lanes,0,1
langerman,1,0
langley,6,0
langleya,1,0
language,39,23
languagebut,1,0
languagein,1,0
languageor,0,1
languages,2,0
lank,0,1
lanka,2,2
lankan,1,0
lao,0,1
laos,2,0
laosthis,1,0
lap,2,10
lapping,0,1
laps,1,1
laptop,3,8
lara,0,1
large,12,21
largely,1,4
larger,6,5
largescale,0,2
largest,5,5
larry,1,1
larvae,0,6
laser,0,2
lasers,0,1
lassiter,0,1
last,81,78
lasted,1,0
lastly,2,4
lastminute,1,0
lastnever,0,1
lasts,0,2
late,6,9
lateafternoon,0,1
lateand,0,1
lately,2,0
latencies,0,1
later,49,32
laterar,1,0
laterbut,0,1
laterso,0,1
laterthese,1,0
latest,2,5
lathe,0,1
lathers,0,1
latin,7,1
latino,2,0
latinos,1,0
latitudes,0,1
latter,1,0
laugh,9,2
laughable,0,1
laughed,4,2
laughing,4,2
laughlaughtersj,1,0
laughter,22,93
laughter—,1,1
laughterand,2,3
laughterapplauseso,0,1
laughterbut,1,3
laughterhe,1,0
laughteri,1,0
laughterlaughterand,1,0
laughterman,1,0
laughternow,1,1
laughtershe,1,0
laughterso,2,2
laughterthank,1,0
laughterthat,0,1
laughterthe,0,2
laughterthen,0,1
laughterthis,1,1
laughterwe,1,0
laughteryou,1,2
laugther,0,2
launch,1,8
launched,1,5
launching,1,1
launchthe,1,0
laundry,2,1
laureates,1,0
lava,0,1
law,14,12
lawn,0,2
lawrence,1,2
laws,9,3
lawsuits,0,2
lawyer,3,5
lawyerly,1,0
lawyers,2,2
lax,1,0
lay,3,0
layar,0,1
laye,1,0
layer,0,2
laying,1,0
layoffs,0,1
layout,0,1
lazarus,2,0
laziness,0,1
lazy,1,2
lbs,0,3
lead,16,11
leader,2,2
leaders,12,27
leadership,3,11
leadershiplaughterand,1,0
leading,6,4
leads,5,6
leadsilver,0,1
leadwell,0,1
leafing,1,0
leaflet,0,3
league,0,1
leak,2,0
leaked,1,0
leaking,1,2
leaks,1,0
lean,2,1
leaned,1,0
leaning,1,2
leans,0,1
leap,0,2
leapt,0,1
learn,24,22
learnbill,1,0
learned,36,15
learnedin,1,0
learning,13,16
learnings,0,1
learningso,1,0
learns,1,2
least,23,21
leastwhat,1,0
leather,1,3
leathery,0,1
leave,30,27
leaven,0,2
leaves,1,6
leaving,5,13
leavinglaughterthere,1,0
leavingnow,0,1
lebanese,2,0
lebanon,4,0
lech,0,1
lecture,2,0
lecturing,0,1
led,10,15
ledge,0,2
leds,0,1
left,53,37
leftbrain,1,0
lefthand,0,1
leftlaughterwell,1,0
leftover,0,1
leftovers,0,1
leg,2,3
legacies,0,1
legacy,6,1
legal,3,3
legally,2,0
legends,2,1
legislation,0,5
legitimate,3,0
legitimateso,1,0
leglaughterso,0,1
legs,6,7
legwhat,1,0
leishmaniasis,0,1
leisure,3,0
lemur,1,0
lend,1,0
lends,1,0
length,0,1
lenient,1,0
lennart,1,0
lens,2,3
lenses,0,2
leonard,1,0
leonardo,0,1
leone,2,0
leprosylaughterwhich,1,0
les,1,0
lesions,0,1
less,44,46
lessdo,0,1
lesson,7,4
lessons,8,2
lesspaul,0,1
lessthanintelligent,1,0
lest,0,3
let,45,35
lets,47,43
letter,4,4
letters,6,6
letting,3,1
leukemia,0,1
level,12,20
levellaughterso,1,0
levelour,0,1
levels,13,11
leverage,0,2
leveraged,1,0
levin,1,0
leviticus,0,1
levitt,1,0
levy,0,1
lewinsky,1,0
lexicon,0,1
lgbtq,1,0
liar,3,0
liarlaughteralso,1,0
liars,9,0
liberal,2,2
liberated,1,1
liberating,1,1
liberation,1,2
liberia,0,1
liberias,0,1
libeskind,0,2
libido,1,0
libraries,3,0
library,2,4
libraryanyway,1,0
lice,0,1
license,2,1
licenses,0,1
licentiousthe,0,1
lidar,0,1
lie,17,4
lied,4,1
lies,8,7
lieso,1,0
lieson,1,0
liespotter,3,0
liespotters,3,0
liespotting,2,0
life,170,117
lifeapplausekb,1,0
lifeas,1,0
lifebut,1,0
lifechanging,1,1
lifeelio,0,1
lifeforce,3,0
lifei,1,0
lifelaughterhelloi,1,0
lifelaughterwhy,1,0
lifeless,1,0
lifelet,1,0
lifelong,2,0
lifenever,0,1
lifes,5,0
lifesaving,0,1
lifesay,1,0
lifeso,1,0
lifespan,3,0
lifestyle,2,2
lifestyles,0,1
lifethank,1,0
lifetheres,1,0
lifethreatening,0,1
lifetime,2,2
lifetimes,0,2
lifetimesnow,0,1
lift,2,5
lifted,1,2
liftedwhat,1,0
lifting,1,0
light,13,21
lightand,0,1
lighten,0,1
lighter,1,0
lightheaded,1,0
lighting,0,4
lightless,0,1
lightly,0,3
lightness,1,0
lightning,1,0
lights,5,8
lightweight,0,2
like,518,389
likebecause,0,1
liked,10,1
likelaughterone,1,0
likelaughterthats,1,0
likelihood,1,0
likely,24,10
likeminded,1,0
likes,3,0
likethis,1,0
liketype,0,1
likewe,0,1
likewell,1,0
likewise,1,0
liking,2,0
limb,1,0
limbic,3,0
limburg,0,1
limburger,0,2
limestone,0,3
limit,2,1
limitations,0,2
limited,4,11
limitedyour,0,1
limiting,0,2
limitless,0,4
limits,3,5
limor,0,1
limptoyed,0,1
lincoln,3,3
lindner,0,1
line,18,11
lineage,0,1
linearity,1,0
linearly,1,0
lined,0,2
lines,2,3
lineupheres,1,0
lingerie,1,0
lingua,0,1
linguistic,2,0
lining,0,1
link,1,4
linked,1,3
linking,1,2
links,0,3
linuxbased,0,1
lions,2,0
lip,1,0
lipid,0,6
lips,4,1
lipstick,1,1
liquid,1,3
liquidate,0,1
liquidy,0,1
list,16,10
listed,1,0
listen,30,5
listened,4,1
listener,1,0
listening,20,7
listeningapplause,1,1
listeningchris,1,0
listeninglaughterthink,1,0
listeningthis,0,1
listenmany,1,0
listlessand,0,1
lists,6,0
lit,5,0
litany,0,1
literacy,1,10
literal,1,0
literally,7,9
literallytoday,1,0
literate,0,1
literature,6,1
literaturei,1,0
literaturelaughtermy,1,0
litmy,0,1
littered,0,1
little,127,141
littler,0,1
liu,1,0
livable,0,1
live,52,44
liveand,1,0
lived,11,17
livein,2,0
livelihood,0,1
livening,1,0
liver,0,1
liverandonion,1,0
livermore,0,1
lives,39,28
livesall,1,0
livesand,0,1
livesdont,1,0
liveslove,0,1
livesmany,1,0
livesour,0,1
livesra,0,1
livesso,1,0
livestock,0,2
livid,1,0
living,27,29
livinglaughtercommon,1,0
livinglaughteri,1,0
lizardapplauseand,1,0
lizardlaughteri,1,0
lloyd,1,0
loaded,0,1
loads,0,1
loan,2,2
loans,0,1
loaves,0,1
lobe,1,0
lobster,0,1
local,1,24
locally,1,0
locate,2,0
located,1,1
location,5,3
locations,1,0
lock,1,0
locke,0,2
locke’s,0,1
locked,1,0
lockin,0,1
locking,0,1
locks,1,0
locksmith,3,0
lofty,0,1
log,0,3
logan,0,2
loganso,0,1
logarithmic,1,1
logged,0,3
logic,1,4
logical,3,2
login,0,1
logistical,0,1
logistics,0,2
logjam,0,1
logos,0,1
logs,0,1
lok,2,0
london,11,9
loneliest,0,1
loneliness,3,0
lonely,6,1
lonelyand,1,0
long,73,56
longago,0,1
longed,1,0
longer,31,6
longermost,0,1
longerterm,0,2
longest,1,1
longevity,0,3
longforgotten,0,1
longheld,1,0
longing,4,0
longings,1,0
longish,0,1
longlasting,1,1
longlaughterso,1,0
longnow,0,1
longs,1,0
longterm,13,4
longtime,0,1
look,136,127
looked,30,21
looking,52,44
looks,24,22
looksj,1,0
lookthe,1,0
lookvideo,1,1
looming,0,1
loop,8,1
loose,1,1
loosely,1,0
looted,0,1
lord,0,4
lords,0,1
loreen,1,0
los,4,1
lose,11,10
loselose,0,2
loser,0,2
loserslaughterconversations,1,0
losing,7,1
loss,7,5
losses,1,0
losssometimes,0,1
lost,26,15
lot,89,101
lotinto,0,1
lots,19,27
lottery,3,0
lotthey,1,0
lotto,1,0
lotus,0,1
loud,8,2
loudlyyou,1,0
louisiana,1,0
lousy,1,0
louvre,0,1
love,147,59
loveand,1,0
loveapplausebut,1,0
loved,10,6
lovedadultery,1,0
lovelaughteri,2,0
lovelaughterso,1,0
loveliness,0,1
lovely,7,6
lovemaking,1,0
loveor,0,1
lover,5,1
lovers,2,2
loves,7,2
lovethank,0,1
loving,7,2
low,9,9
lowcost,1,2
lower,8,9
lowering,1,3
lowernow,1,0
lowest,2,2
lowkey,1,0
lowpower,7,0
loyal,1,0
loyalty,1,0
lsd,0,1
lse,2,0
lucci,1,0
lucienlaughterbut,0,1
luck,2,3
luckily,3,1
lucky,13,4
luggage,1,0
luhya,0,1
lukashenko,0,1
lump,0,2
lunatic,1,0
lunch,4,1
lunchroom,1,0
lune,0,1
lung,1,0
lungs,3,0
lupashin,1,0
lure,1,0
lured,1,0
lurkcrouched,0,1
luscious,0,1
lush,0,2
lust,3,1
lustfully,1,0
lusty,0,1
luther,3,3
luxury,0,3
lyceeperched,0,1
lying,16,1
lyings,1,0
lynne,3,0
lyrics,0,2
maasai,0,1
maastricht,0,3
mac,0,1
macaquelaughterand,1,0
macaques,1,0
maccready,0,1
macedonia,0,1
macgyver,0,1
machina,1,0
machine,22,14
machineand,1,0
machinejay,0,1
machinejournalist,0,1
machinemusic,0,1
machinery,2,1
machines,10,4
machinesthats,1,0
macho,0,1
macintosh,0,1
macintoshes,0,1
macroalgae,0,3
macs,2,0
mad,3,2
madame,0,1
maddening,1,0
maddest,2,0
made,81,83
maden,1,0
madly,5,1
madness,10,0
madoff,1,1
madonnalaughtersummer,1,0
madrid,0,1
madurai,2,0
maelstrom,1,0
mag,0,1
magazine,4,15
maggoting,0,1
maggots,0,11
maggotsso,0,2
magic,20,11
magical,3,0
magician,8,0
magicians,1,0
magnetic,0,1
magnetism,1,0
magnets,1,0
magnificence,1,0
magnificent,3,1
magnified,2,0
maha,1,0
mahmood,0,1
mail,4,0
mailboxgrayyellow,0,1
mailed,1,0
mailer,1,0
maimed,0,1
maimonides,1,0
main,9,11
maine,0,3
mainer,0,1
mainland,0,1
mainly,5,1
mainlylaughterand,1,0
mains,0,1
mainstream,2,2
maintain,1,3
maintaining,0,2
mais,2,0
maitreya,0,11
maitreyamaitreya,0,1
majesty,1,1
major,12,11
majority,8,5
make,181,187
maker,0,2
makers,1,0
makes,39,29
makeso,1,0
makeup,1,0
makeupthe,0,1
making,37,40
malaise,0,1
malaria,0,16
malariaapplausethats,0,1
malariamy,0,1
malariathank,0,1
male,9,5
malelaughterthank,1,0
males,6,1
malign,1,0
maligned,0,1
malingering,3,0
mall,3,0
malllaughterall,1,0
mallow,0,1
malnutrition,0,1
mama,1,9
mammal,0,1
mammals,0,6
mammogram,1,0
man,45,67
manage,3,2
managed,4,4
management,7,1
manager,1,1
manageral,1,0
managerlaughterthis,1,0
managers,1,1
managing,2,2
manchester,1,0
mandate,0,2
mandela,3,1
mandelalaughteri,1,0
mandelas,1,0
maneuver,5,0
maneuvers,2,0
manga,0,1
mangerfrench,1,0
mangoes,1,0
mangrove,0,3
manhattan,2,2
manhattans,1,0
mani,0,2
manic,1,0
manicdepressiveslaughterwe,1,0
manifest,0,3
manifestation,1,2
manila,3,0
manipulate,5,2
manipulated,1,0
manipulation,1,1
manipulative,5,0
mankind,0,5
manlaughterdid,1,0
manlaughtertheres,1,0
manmade,0,3
manmy,0,1
mann,1,0
manned,1,0
manner,0,3
mannow,0,1
mans,2,6
mansion,1,0
mansions,1,0
mantra,2,1
manual,4,2
manually,0,3
manuals,0,1
manuel,0,1
manufacture,4,2
manufactured,0,3
manufacturer,0,3
manufacturers,0,2
manufacturing,0,8
manuscript,1,0
many,111,121
manyi,1,0
manyou,0,1
mao,1,0
maori,0,1
map,9,8
mapand,1,0
mapping,1,1
mapquest,1,0
maps,0,6
marathon,1,0
marcel,1,0
march,1,4
margaret,1,1
margarets,0,1
margarine,1,0
margin,2,3
marginalized,1,0
margins,0,4
maria,1,1
mariah,1,0
marianne,1,0
marie,1,0
marinating,1,0
marine,1,15
marital,2,0
mark,5,3
marked,2,0
marker,3,0
markers,3,0
market,18,29
marketed,1,0
marketing,4,8
marketplace,2,1
markets,1,6
marketso,1,0
marketthe,0,1
marketwe,0,1
marking,1,1
markoff,0,1
markoffvideo,0,1
marks,0,2
markthis,1,0
markus,1,0
marley,1,0
marquez,0,1
marriage,26,1
marriagemanual,1,0
marriagenow,1,0
marriages,7,0
married,17,2
marry,10,0
mars,0,5
marshal,1,0
marshall,0,3
marshes,0,2
martin,3,4
marvel,1,1
marvelous,2,0
mary,1,0
maryland,0,1
mascara,0,1
mash,0,2
mashed,0,1
masking,1,2
masklikemore,0,1
mass,3,8
massachusetts,1,1
massage,1,2
massaging,0,1
masses,2,2
massive,0,5
massively,0,1
massmarket,2,0
massproduced,0,1
master,2,2
mastered,2,1
masterlevel,1,0
masterpiece,0,2
masterpieces,0,2
masters,6,1
mastery,6,0
masturbated,1,0
masturbation,1,0
masturbationlaughteri,1,0
masturbationlaughterokay,1,0
masturbators,1,0
mat,2,1
matand,1,0
match,3,1
matchcom,1,0
matched,2,0
matches,2,0
matching,3,1
mate,0,6
mateim,0,1
mater,1,1
material,4,9
materialhandling,0,1
materialism,0,1
materials,1,9
maternal,0,2
maternity,0,1
matevery,0,1
matewho,0,1
math,6,7
mathanyway,1,0
mathemagician,1,0
mathemagicsbut,1,0
mathemagicsthank,1,0
mathematical,8,2
mathematics,3,0
mating,4,0
matrix,0,2
mats,0,2
matsumoto,1,0
matt,0,2
matter,30,19
matterand,1,0
matters,10,1
matterso,1,0
mattersso,1,0
matterto,0,1
matthews,1,0
matthieu,1,0
mattress,0,1
matts,0,1
mature,2,2
maturing,0,2
matzah,0,2
maurice,0,1
mauritius,2,0
maximize,4,0
maximizing,2,0
maximum,1,4
maxwells,1,0
may,54,40
maybe,76,42
mayhemlaughterand,1,0
mayor,1,1
maysoon,2,0
maysoons,1,0
mba,2,0
mbeki,0,1
mccarthy,0,1
mcdon,0,1
mcdonalds,1,2
mcdonaldsdr,0,2
mcguinness,0,1
mckinley,0,2
mckinleys,0,1
mcluhan,0,4
mdf,0,1
meadows,0,1
meal,3,3
meals,0,1
mean,45,70
meanbecause,0,1
meand,3,0
meaner,0,1
meaning,16,4
meaningful,4,4
meaningfulso,0,1
meaningless,0,1
meaninglessso,0,1
means,39,42
meant,11,7
meantime,2,1
meanwell,0,1
meanwhile,3,3
meapplausei,0,1
measure,6,6
measured,2,0
measurement,2,0
measures,2,0
measuring,3,1
meat,0,5
meatloaf,1,0
mebut,1,0
mechanical,1,2
mechanically,2,0
mechanism,4,2
mechanisms,1,2
mechanistic,1,0
medal,1,0
medare,0,1
media,15,28
mediamanagement,0,1
mediaof,0,1
mediaor,0,1
mediated,0,2
mediating,1,0
medical,16,10
medicated,2,0
medication,1,2
medications,0,1
medicinal,0,1
medicine,6,1
medicines,0,11
medicinesso,0,1
medieval,1,2
meditate,0,3
meditated,0,2
meditating,0,1
meditation,1,3
mediterranean,0,2
medium,2,15
meds,0,1
meet,20,16
meeting,8,4
meetinglaughtertruthfully,1,0
meetings,2,0
meetingslaughterif,1,0
meets,1,3
mefor,1,0
megasensation,1,0
meh,1,0
meher,0,1
meim,1,0
meisel,1,0
meisner,1,0
mejf,0,1
mel,1,0
melancholy,0,1
melaughterapplauseand,1,0
melaughterbut,1,0
melaughterit,1,0
melaughtermy,1,0
melaughterserve,1,0
melaughterso,1,0
melaughterthe,1,0
melbourne,1,0
melded,0,1
mellon,1,0
mellow,2,0
melody,1,0
melove,0,1
melt,2,1
memaybe,0,1
member,3,3
members,6,8
membrane,0,3
membranes,0,2
memento,0,1
memoir,1,1
memorable,1,0
memorial,0,1
memories,4,2
memoriesso,1,0
memorizes,2,0
memory,7,4
memoryarabic,1,0
memy,0,3
men,44,20
menagerie,1,0
mencken,0,1
meningitis,0,2
menits,0,1
menopauselaughterwere,1,0
mens,1,1
menstrual,1,0
menstruation,1,0
mental,15,6
mentalists,1,0
mentality,0,1
mentally,6,0
mention,3,2
mentioned,2,4
mentionedlaughterin,1,0
mentor,0,13
mentoring,0,1
mentors,0,1
menu,0,2
menus,0,2
meokay,1,0
meokaylaughteri,1,0
merchandise,0,2
merchant,1,1
mercil,1,0
mercury,0,1
mere,2,0
merely,6,3
merge,1,0
merged,0,1
merger,0,1
merges,1,0
merging,0,1
merrier,0,1
merw,0,1
mesa,0,1
mesas,0,1
meso,1,0
mess,2,11
message,9,19
messages,3,4
messageslaughtermy,1,0
messaging,0,1
messed,2,3
messenger,1,0
messianic,0,1
messianism,0,1
messiness,0,1
messing,2,1
messy,5,5
met,10,8
metaanalysis,1,0
metabolism,2,0
metadata,0,1
metainformation,1,0
metaking,0,1
metal,0,2
metalanguage,1,0
metalhalide,0,1
metallica,1,0
metals,0,1
metaphor,0,2
metaphorical,1,0
metaphorwhen,0,1
metaphysical,0,1
metaverse,0,1
meter,0,1
meters,1,3
methane,0,1
methe,1,1
methis,0,1
method,2,9
methodically,1,0
methodology,0,1
methods,1,1
metric,1,3
metrics,0,1
metro,1,0
metropolis,1,0
metropolisand,0,1
metropolitan,0,1
mevocalizationbeatboxsinging,1,0
mewe,1,0
mewith,0,1
mexican,2,0
mexicano,0,1
mexicans,4,0
mexico,1,7
meyer,1,0
mfa,1,0
mhra,0,1
miami,1,1
mic,1,0
micelle,0,1
micelles,0,2
michael,2,1
michigan,0,1
michoacan,0,2
mick,1,0
microbes,0,3
microcircuitry,1,0
microcomputer,1,1
microfluidic,0,5
microgrid,0,1
micrometeorite,0,1
microphone,4,0
microprocessor,0,1
microprocessori,0,1
microscope,1,1
microscopes,0,1
microsoft,2,1
microtechnology,0,1
microwave,1,0
mid,0,1
mid1990s,2,0
mid30s,1,0
mid50s,0,1
midatlantic,0,1
midcentury,0,1
middle,32,19
middleclass,2,0
middleincome,0,1
middleof,1,0
middleofthenight,1,0
middleright,0,1
midlife,3,0
midnight,3,0
midpeninsula,0,1
midst,3,4
midwest,0,1
might,66,51
mightily,1,0
mightnt,1,0
mighty,0,2
migrants,1,0
migrated,0,1
migration,0,1
migrations,0,1
mike,1,3
milan,1,1
mild,1,0
mildly,1,0
mile,3,3
mileage,2,1
mileandahalf,0,1
miles,2,18
milestones,0,1
milieuso,1,0
militarized,0,1
military,4,11
milk,2,2
milky,1,0
millennia,0,1
millennials,2,0
millimeter,0,1
million,24,31
millionaires,1,0
milliondollar,1,1
millioni,1,0
millionour,1,0
millions,8,16
milliseconds,3,0
mills,1,0
milosevic,0,1
milverton,0,1
mimic,2,0
mimicking,1,0
min,1,0
mind,62,29
mindblowing,0,1
mindcontrol,1,0
minded,0,1
mindfully,1,0
mindlaughterbut,1,0
mindopening,0,1
mindreading,1,0
minds,23,4
mindsbut,1,0
mindset,3,1
mindsit,1,0
mine,18,12
mined,2,0
mineits,0,1
minelaughtersj,1,0
mineral,1,0
minerally,1,0
minerals,0,1
miners,0,1
mines,1,5
miniaturization,0,5
miniaturize,0,2
minicomputer,0,1
minimal,1,0
minimize,5,0
minimum,1,1
mining,0,3
miniscule,0,1
miniskirt,1,0
minister,1,0
ministerbut,0,1
ministers,0,1
minisupernova,1,0
minorities,1,0
minority,4,2
minus,2,1
minute,20,9
minuteit,0,1
minutelaughterwhen,1,0
minutes,75,22
minutesi,1,0
miracle,2,3
miracles,0,1
miraclesome,1,0
miraculously,1,0
mirror,3,0
mirroring,1,0
mischief,1,0
miscommunicationlaughterlets,1,0
misconstrued,1,0
misdirection,2,0
miserable,2,2
miseries,2,0
misery,3,2
mislabeled,0,1
mismatch,4,0
miss,7,5
missed,1,6
missile,0,1
missileall,0,1
missiles,0,2
missing,3,7
missinggracenot,0,1
missingsense,1,0
mission,3,7
missionaries,0,2
missionary,0,3
missions,0,1
mississippi,0,1
missouri,0,1
mistake,10,2
mistaken,1,0
mistakes,6,3
mister,0,1
mistress,0,1
mistrust,0,1
mistry,3,0
misunderstanding,2,2
misunderstood,0,2
misused,1,0
mit,6,12
mitch,0,3
mitchell,0,2
mitigate,0,1
mits,0,2
mitvideo,1,0
mix,6,5
mixed,1,0
mixer,0,1
mixers,0,1
mixes,0,1
mixing,1,2
mixture,0,5
mladic,0,1
mmhmmkb,2,0
mmm,1,0
mmmlaughterits,1,0
mms,1,0
mmsdocuments,1,0
mnemonic,1,0
mobile,1,25
mobilephone,1,0
mobility,0,1
mobs,1,2
mock,0,1
mocked,0,1
mode,2,3
modeand,1,0
model,24,18
modelbased,1,0
modeled,0,1
modeling,0,2
models,16,10
modelthis,1,0
modem,0,1
modems,0,1
moderate,1,1
modern,7,12
modernity,0,1
modernization,0,2
modernized,0,1
modest,3,1
modifications,0,2
modify,2,0
modifying,1,1
modular,0,1
modulates,1,0
module,0,2
mofo,1,0
moguls,0,1
moisture,0,1
molding,0,2
molecular,1,0
molecules,3,0
mollies,0,2
moltencalling,0,1
mom,14,10
moma,0,1
momand,0,1
moment,60,33
momentarily,2,0
moments,7,9
momentthen,0,1
momentum,1,3
momentwhat,0,1
momentyour,1,0
momlaughterall,1,0
momma,2,0
mommy,0,1
moms,0,3
monarchies,0,1
monarchy,1,5
monastery,0,1
monday,1,2
mondayaudience,1,0
monet,4,0
money,49,36
moneyand,1,0
moneyar,2,0
moneybut,1,0
moneycarol,1,0
moneys,0,1
moneyshed,0,1
mongolia,0,1
monitor,1,1
monitoring,0,1
monitors,1,0
monk,0,1
monkey,11,0
monkeys,1,0
monks,2,0
monogamous,2,0
monogamy,4,0
monotone,1,0
monotonic,1,0
monotonous,1,0
monster,7,1
monsterlaughternow,1,0
montana,0,1
monterey,0,1
month,14,8
monthaudience,3,0
monthca,2,0
monthlaughtermind,1,0
monthly,0,4
months,28,16
montreal,2,0
monty,0,2
monumental,0,2
mood,3,0
moon,1,8
moonlight,1,0
moore,1,1
moores,0,5
moors,1,0
mopping,2,0
moral,3,7
morass,1,0
morbid,0,1
morean,0,1
moreand,0,2
moreese,1,0
moreover,0,1
mores,0,1
moreso,1,0
morethe,0,1
morgan,1,1
morgans,0,1
morning,25,22
morningbut,0,1
morningwhen,1,0
morocco,0,1
morph,0,1
morrow,1,0
mortal,3,0
mortality,4,0
mortar,1,0
mortgage,1,1
morticians,0,1
mortified,1,0
moscovici,1,0
moses,1,0
mosque,0,1
mosques,1,0
mosquito,0,6
mosquitoborn,0,1
mosquitoes,0,21
mostly,2,2
mostlylaughterthis,1,0
mostpm,1,0
mother,26,39
motherapplausethank,1,0
motherly,0,2
motherlyand,0,1
mothers,6,34
mothers2mothers,0,2
motherslaughterapplause,1,0
mothertochild,0,1
moths,0,2
motion,5,6
motionsensing,1,0
motivate,3,0
motivated,3,3
motivating,1,0
motivation,9,1
motivational,1,0
motivatorquestion,1,0
motivators,7,0
motive,1,1
motives,1,0
motor,8,0
motors,0,2
mount,0,5
mountain,2,35
mountains,1,8
mountainsin,0,1
mountainthank,0,1
mounted,0,1
mounting,1,0
mourid,1,0
mourn,1,0
mourning,0,1
mouse,6,6
mouses,1,0
mouth,11,4
mouths,1,1
mouthwash,1,0
move,33,29
moved,13,8
movement,7,19
movementand,0,1
movementnow,0,1
movements,2,2
movementswell,0,1
moves,4,3
movie,2,11
movies,0,14
moviesvideo,1,0
moving,31,15
movingby,0,1
movingyou,1,0
mozart,0,2
mp3,4,0
mps,0,3
mri,4,2
mris,1,0
mrs,1,0
mse,0,1
mtv,1,0
mubarak,0,2
mubarakben,0,1
much,144,148
muchapplause,8,4
muchapplauseanybody,1,0
muchapplauseapplause,5,0
muchapplauselet,1,0
muchapplausethank,1,0
muchapplausethanks,1,0
muchlaughterso,1,0
muchneeded,0,1
muchshoulder,0,1
muchso,1,0
muckforgetting,0,1
muddied,0,1
muddy,0,1
muffin,1,0
muffinlaughteri,1,0
muffle,0,1
muhammad,3,0
muhtar,1,0
mulch,0,1
mule,1,0
mulholland,0,1
mulishness,1,0
muller,1,0
multibilliondollar,0,1
multimedia,0,1
multimillionaire,1,0
multinational,0,2
multiparameter,0,1
multiple,2,8
multiply,3,0
multiplying,3,0
multispectral,0,1
multitask,1,1
multitasking,1,0
mumbleslaughterand,1,0
murder,1,1
murdered,1,0
murderer,1,0
murderers,1,0
murdererslaughterapplausenow,1,0
murdoch,1,0
murdochvideo,0,1
murmurim,0,1
muscle,1,1
muscles,3,0
museum,2,10
museums,2,0
mushroomed,1,0
music,43,12
music♫,0,1
musical,3,0
musicals,1,0
musician,3,0
musicians,3,0
musicjournalist,0,1
musiclaughteryou,1,0
musicph,0,2
musicthank,1,0
musicvideo,0,1
muslim,5,0
muslims,1,4
must,18,35
mustache,0,1
mustard,0,2
muster,1,0
mustnt,0,1
mutation,0,1
mute,1,0
muted,0,1
mutiara,0,1
mutilate,1,0
mutilated,0,1
mutilation,0,1
muttering,0,1
mutual,2,0
mutualfund,1,0
mutuality,1,0
mutually,0,2
mydamnchannelcom,0,1
myopic,1,0
myriad,0,3
myrrh,2,0
myselflaughterits,0,1
myselfone,0,1
myselfso,1,0
myselftranslate,1,0
myspace,0,3
mysteries,2,0
mysterious,4,0
mystery,11,0
mystic,0,1
mystical,2,0
mystifying,1,0
myth,5,1
mythic,0,3
myths,1,1
mzalendo,0,1
nadirview,0,1
nadu,0,1
nagged,1,0
nagging,0,1
nah,0,1
nailaudience,0,1
nails,1,1
naive,2,0
naked,0,2
nakedsome,0,1
nalco,0,1
nalini,1,0
namaste,1,0
name,26,25
named,13,3
namely,2,1
names,3,6
nami,1,0
namibia,1,0
